Station ID,Latitude,Longitude,Name,Elevation,Weighted Average Weatherscore
80222099999,4.701594,-74.146947,"ELDORADO INTERNATIONAL, COLOMBIA",2548.43,767.301843714778
84071099999,-0.141144,-78.488214,"MARISCAL SUCRE INTERNATIONAL, ECUADOR",2812.69,965.777441300723
80149099999,5.029839,-75.464992,"LA NUBIA, COLOMBIA",2094.28,989.495092639204
84752099999,-16.341072,-71.583083,"RODRIGUEZ BALLON, PERU",2561.84,1160.8872595341
84686099999,-13.535722,-71.938781,"TENIENTE ALEJANDRO VELASCO ASTETE INTERNATIONAL, PERU",3310.12,1184.0778716156
84160099999,-1.35,-78.6,"QUEROCHACA, ECUADOR",2940,1218.71428425971
43473099999,6.9666666,80.7666666,"NUWARA ELIYA, SRI LANKA",1880,1263.54467287865
84472099999,-7.139183,-78.4894,"GEN FAP ARMANDO REVOREDO IGLESIAS, PERU",2676.44,1290.15767490292
84123099999,-0.906833,-78.615756,"COTOPAXI INTERNATIONAL, ECUADOR",2805.68,1386.75699541879
84735099999,-15.467103,-70.158169,"JULIACA, PERU",3825.84,1441.58094853093
85242099999,-17.962589,-67.076236,"JUAN MENDOZA, BOLIVIA",3702.1,1496.51917489963
84147099999,-1.212067,-78.574636,"CHACHOAN, ECUADOR",2591.4,1499.39813140471
84176099999,-1.653433,-78.656142,"CHIMBORAZO, ECUADOR",2789.22,1517.9173553719
99999923243,,,,,1522.11194286151
84143099999,-1.0166666,-78.5833333,"RUMIPAMBA, ECUADOR",2628,1531.66869300912
84036099999,0.6,-77.8166666,"SAN GABRIEL, ECUADOR",2860,1585.54040987766
78647599999,14.86555,-91.501981,"QUEZALTENANGO, GUATEMALA",2431,1608.38323116748
76675399999,19.337072,-99.566008,"LICENCIADO ADOLFO LOPEZ MATEOS INTERNATIONAL, MEXICO",2580.43,1610.56752754549
87007099999,-22.150556,-65.5775,"LA QUIACA, ARGENTINA",3478.98,1621.72610235603
85442099999,-23.444478,-70.4451,"CERRO MORENO INTERNATIONAL, CHILE",138.68,1630.77948044726
85488099999,-29.916233,-71.199522,"LA FLORIDA, CHILE",146.6,1677.11548996092
84270099999,-4.0333333,-79.2,"LOJA LA ARGELIA, ECUADOR",2160,1682.41520467836
85467099999,-27.25,-70.77,"DESIERTO DE ATACMA, CHILE",204,1710.40419178481
72392799999,34.201,-119.207,"OXNARD, CA US",14,1718.67110926291
99999993197,,,,,1740.25115255576
85283099999,-19.007083,-65.288747,"JUANA AZURDUY DE PADILLA, BOLIVIA",2903.82,1742.84785698328
85459599999,-27.261247,-70.779222,"DESIERTO DE ATACAMA, CHILE",204.21,1746.20514309256
99801399999,32.5745,-117.127,"TIJUANA RIVER RESERVE, CA US",4,1755.0415858642
80112099999,6.164536,-75.423119,"JOSE MARIA CORDOVA, COLOMBIA",2142.13,1773.0268187083
48632099999,4.4666666,101.3666666,"CAMERON HIGHLANDS, MALAYSIA",1545,1796.63664662624
85558099999,-33.0333333,-71.6333333,"PUNTA ANGELES, CHILE",41,1809.27993753571
84027099999,0.809506,-77.708056,"TENIENTE CORONEL LUIS A MANTILLA, ECUADOR",2941.01,1823.19008264463
99999903177,,,,,1824.09374904305
68902099999,-37.05,-12.3166667,"TRISTAN DA CUNHA, ST. HELENA",23,1825.92135114984
72289599999,34.667,-120.467,"LOMPOC, CA US",27,1845.47562965364
68408099999,-29.2333333,16.8666666,"PORT NOLLOTH, SOUTH AFRICA",10,1867.59315579434
99999953121,,,,,1877.94982226519
84239099999,-2.889467,-78.984397,"MARISCAL LAMAR, ECUADOR",2531.66,1888.60281637518
72292593117,33.02333,-118.58806,"SAN CLEMENTE ISLAND NAAS, CA US",55.5,1921.28732426529
68920099999,-34.8333333,20.0166666,"CAPE AGULHAS, SOUTH AFRICA",14,1922.85114527635
93023099999,-35.1166666,174.0166666,"PURERUA, NEW ZEALAND",84,1926.71303033846
85418099999,-20.535222,-70.181275,"DIEGO ARACENA INTERNATIONAL, CHILE",47.24,1936.73507364088
84072599999,-0.1166666,-78.3666666,"MARISCAL SUCRE INTERNATIONAL AIRPORT, ECUADOR",2400,1947.11161671491
60060099999,29.368983,-10.180267,"SIDI IFNI, MOROCCO",59,1950.69505217895
85406099999,-18.348514,-70.33875,"CHACALLUTA, CHILE",50.9,1963.33592807691
99999923259,36.59041,-121.84881,"MONTEREY PENINSUL AIRPORT, CA US",48.8,1965.54798728325
99999923277,,,,,1966.48959300458
85586099999,-33.65,-71.6166666,"SANTO DOMINGO, CHILE",75,1988.51545009015
84501099999,-8.081411,-79.108761,"CAPITAN CARLOS MARTINEZ DE PINILLOS, PERU",32.3,1991.56912466328
72289523243,34.66667,-120.46667,"LOMPOC AIRPORT, CA US",26.8,1993.21564287751
84072099999,-0.1666666,-78.4833333,"INAQUITO, ECUADOR",2812,1995.04179411111
72491599999,36.583,-121.833,"MONTEREY PENINSULA, CA US",80,2004.94854657744
72292799999,33.128,-117.28,"MC CLELLAN PALOMAR, CA US",101,2007.35718932092
72491523245,36.583,-121.833,"MONTEREY PENINSULA, CA US",78,2011.28997195479
72292800369,33.286,-117.456,"MCOLF CAMP PENDLETON RED BEACH AIRPORT, CA US",27.1,2018.08739239284
99999903167,,,,,2038.21551487348
